species	subfamily_rows	analyzed_loci	normal_singleton_loci	abnormal_clustered_loci	pct_abnormal_clustered_loci	n_components_non_singleton	max_component_size	tandem_satellite_loci	same_contig_local_loci	same_contig_segmental_loci	dispersed_cross_contig_loci	suspicious_sequential_contigs_loci
Achalinus_rufescens	3	3026	2929	97	3.2056	46	3	16	48	0	33	0
Acrochordus_granulatus	3	4349	4349	0	0.0	0	0	0	0	0	0	0
Amphiglossus_igneocaudatus	3	38542	38160	382	0.9911	137	21	6	91	8	277	0
Amphisbaena_fuliginosa	3	42070	40553	1517	3.6059	493	40	4	432	36	733	312
Anilios_bituberculatus	3	4508	4508	0	0.0	0	0	0	0	0	0	0
Anilios_erycinus_AMNHR176839	3	32086	30199	1887	5.8811	338	186	29	44	0	1218	596
Anilius_scytale	3	8254	8249	5	0.0606	2	3	0	0	0	5	0
Anilius_scytale_AMNHR152258	3	11262	11194	68	0.6038	23	8	0	30	8	30	0
Anniella_stebbinsi	3	70181	69470	711	1.0131	261	11	8	419	50	234	0
Anolis_carolinensis	3	8323	8263	60	0.7209	23	5	18	18	0	24	0
Aristelliger_praesignis	3	65429	64799	630	0.9629	239	14	14	256	32	148	180
Arizona_elegans	3	2939	2900	39	1.327	13	5	0	20	2	17	0
Asaccus_caudivolvulus	3	86500	85958	542	0.6266	202	15	51	229	81	181	0
Aspidoscelis_tigris	3	10997	10967	30	0.2728	13	3	6	19	0	5	0
Azemiops_feae	3	3823	3740	83	2.1711	40	3	0	12	0	71	0
Bachia_flavescens_AMNHR151921	3	3708	3548	160	4.315	78	3	2	2	0	154	2
Basiliscus_vittatus	3	24563	24541	22	0.0896	11	2	0	0	0	22	0
Bavayia_robusta	3	51494	50056	1438	2.7926	686	14	4	144	0	1138	152
Boa_constrictor	3	9089	9082	7	0.077	3	3	0	2	0	5	0
Brachylophus_fasciatus	3	25097	25097	0	0.0	0	0	0	0	0	0	0
Calamaria_pavimentata_AMNHR147132	3	1534	1384	150	9.7784	74	3	0	0	0	148	2
