species	subfamily	theta	flank_len	source_headers	analyzed_loci	normal_singleton_loci	abnormal_clustered_loci	pct_abnormal_clustered_loci	incomplete_flanks	ambiguous_or_low_complexity_flanks	bad_headers	unique_flank_pairs	allowed_mismatches	exact_lsh_blocks	used_lsh_blocks	max_bucket_size	candidate_pairs	candidate_limit_reached	skipped_large_buckets	n_edges_both_flanks	n_components_non_singleton	n_pairs	n_triples	n_quads	n_larger_components	max_component_size	tandem_satellite_loci	same_contig_local_loci	same_contig_segmental_loci	dispersed_cross_contig_loci	suspicious_sequential_contigs_loci	run_dir	source_fasta
Achalinus_rufescens	sq2_long_gecko_dibamus	0.90	50	1006	1006	964	42	4.175	0	0	0	993	5	6	4	500	108	0	0	24	20	18	2	0	0	3	8	21	0	13	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
Achalinus_rufescens	sq2_short_general	0.90	50	1480	1480	1440	40	2.7027	0	0	0	1470	5	6	4	500	24	0	0	23	19	17	2	0	0	3	6	20	0	14	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221/step2/step2_output/subfamilies/sq2_short_general_50pct_from_nonsnakes_consensi.fasta
Achalinus_rufescens	sq2_unassigned	0.90	50	540	540	525	15	2.7778	0	0	0	533	5	6	4	500	93	0	0	9	7	6	1	0	0	3	2	7	0	6	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221/step2/step2_output/unassigned.fasta
Acrochordus_granulatus	sq2_long_gecko_dibamus	0.90	50	1407	1388	1388	0	0.0	10	9	0	1388	5	6	4	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
Acrochordus_granulatus	sq2_short_general	0.90	50	2196	2161	2161	0	0.0	19	15	1	2161	5	6	4	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221/step2/step2_output/subfamilies/sq2_short_general_50pct_from_nonsnakes_consensi.fasta
Acrochordus_granulatus	sq2_unassigned	0.90	50	814	800	800	0	0.0	10	4	0	800	5	6	4	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221/step2/step2_output/unassigned.fasta
Amphiglossus_igneocaudatus	sq2_long_gecko_dibamus	0.90	50	7303	7297	7258	39	0.5345	0	1	5	7289	5	6	4	500	147	0	0	25	18	16	1	1	0	4	0	13	2	24	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
Amphiglossus_igneocaudatus	sq2_short_general	0.90	50	22128	22105	21889	216	0.9772	0	3	20	22016	5	6	4	500	103	0	0	417	82	73	2	1	6	17	6	62	4	144	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451/step2/step2_output/subfamilies/sq2_short_general_50pct_from_nonsnakes_consensi.fasta
Amphiglossus_igneocaudatus	sq2_unassigned	0.90	50	9148	9140	9013	127	1.3895	0	2	6	9070	5	6	4	500	182	0	0	456	37	31	1	0	5	21	0	16	2	109	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451/step2/step2_output/unassigned.fasta
Amphisbaena_fuliginosa	sq2_long_gecko_dibamus	0.90	50	4595	4591	4522	69	1.5029	0	0	4	4560	5	6	4	500	14	0	0	60	29	23	4	0	2	6	2	18	4	45	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
Amphisbaena_fuliginosa	sq2_short_general	0.90	50	26772	26731	25804	927	3.4679	0	4	37	26395	5	6	4	500	1199	0	0	2934	298	225	30	13	30	40	0	266	17	451	193	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630/step2/step2_output/subfamilies/sq2_short_general_50pct_from_nonsnakes_consensi.fasta
Amphisbaena_fuliginosa	sq2_unassigned	0.90	50	10759	10748	10227	521	4.8474	0	0	11	10571	5	6	4	500	608	0	0	1201	166	112	25	9	20	23	2	148	15	237	119	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630/step2/step2_output/unassigned.fasta
Anilios_bituberculatus	sq2_long_gecko_dibamus	0.90	50	1617	1392	1392	0	0.0	124	101	0	1392	5	6	4	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
Anilios_bituberculatus	sq2_short_general	0.90	50	2246	2007	2007	0	0.0	112	127	0	2007	5	6	4	500	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221/step2/step2_output/subfamilies/sq2_short_general_50pct_from_nonsnakes_consensi.fasta
Anilios_bituberculatus	sq2_unassigned	0.90	50	1373	1109	1109	0	0.0	124	140	0	1109	5	6	4	500	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221/step2/step2_output/unassigned.fasta
Anilios_erycinus_AMNHR176839	sq2_long_gecko_dibamus	0.90	50	21242	21192	19692	1500	7.0781	39	7	4	20836	5	6	4	500	943814	0	10	42872	228	136	30	19	43	186	23	26	0	861	590	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_erycinus_AMNHR176839/run_20260514_172700	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_erycinus_AMNHR176839/run_20260514_172700/step2/step2_output/subfamilies/sq2_long_gecko_dibamus_50pct_from_nonsnakes_consensi.fasta
