species	run_dir	sampled_records	representative_records	combined_records	alignment_records	alignment_width	alignment_bytes	output
Achalinus_rufescens	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Achalinus_rufescens/run_20260514_110221	2579	52	54	54	232	13419	alignments/Achalinus_rufescens/sq2_initial_subfam_step1.fa
Acrochordus_granulatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Acrochordus_granulatus/run_20260514_110221	3696	74	76	76	205	16801	alignments/Acrochordus_granulatus/sq2_initial_subfam_step1.fa
Amphiglossus_igneocaudatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphiglossus_igneocaudatus/run_20260514_171451	29889	598	600	600	355	223281	alignments/Amphiglossus_igneocaudatus/sq2_initial_subfam_step1.fa
Amphisbaena_fuliginosa	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Amphisbaena_fuliginosa/run_20260514_171630	30000	600	602	602	389	245095	alignments/Amphisbaena_fuliginosa/sq2_initial_subfam_step1.fa
Anilios_bituberculatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_bituberculatus/run_20260514_110221	3933	79	81	81	243	21060	alignments/Anilios_bituberculatus/sq2_initial_subfam_step1.fa
Anilios_erycinus_AMNHR176839	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilios_erycinus_AMNHR176839/run_20260514_172700	27773	556	558	558	246	146277	alignments/Anilios_erycinus_AMNHR176839/sq2_initial_subfam_step1.fa
Anilius_scytale	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilius_scytale/run_20260514_110221	7129	143	145	145	226	35026	alignments/Anilius_scytale/sq2_initial_subfam_step1.fa
Anilius_scytale_AMNHR152258	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anilius_scytale_AMNHR152258/run_20260514_172719	8623	173	175	175	253	47156	alignments/Anilius_scytale_AMNHR152258/sq2_initial_subfam_step1.fa
Anniella_stebbinsi	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anniella_stebbinsi/run_20260514_110557	30000	600	602	602	262	167437	alignments/Anniella_stebbinsi/sq2_initial_subfam_step1.fa
Anolis_carolinensis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Anolis_carolinensis/run_20260514_110610	6198	124	126	126	244	32841	alignments/Anolis_carolinensis/sq2_initial_subfam_step1.fa
Aristelliger_praesignis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Aristelliger_praesignis/run_20260514_110639	30000	600	602	602	336	212587	alignments/Aristelliger_praesignis/sq2_initial_subfam_step1.fa
Arizona_elegans	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Arizona_elegans/run_20260514_110656	2558	52	54	54	221	12825	alignments/Arizona_elegans/sq2_initial_subfam_step1.fa
Asaccus_caudivolvulus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Asaccus_caudivolvulus/run_20260514_111136	30000	600	602	602	283	180079	alignments/Asaccus_caudivolvulus/sq2_initial_subfam_step1.fa
Aspidoscelis_tigris	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Aspidoscelis_tigris/run_20260514_111202	7439	149	151	151	287	45834	alignments/Aspidoscelis_tigris/sq2_initial_subfam_step1.fa
Azemiops_feae	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Azemiops_feae/run_20260514_111624	3278	66	68	68	209	15313	alignments/Azemiops_feae/sq2_initial_subfam_step1.fa
Bachia_flavescens_AMNHR151921	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Bachia_flavescens_AMNHR151921/run_20260514_173102	2994	60	62	62	261	17255	alignments/Bachia_flavescens_AMNHR151921/sq2_initial_subfam_step1.fa
Basiliscus_vittatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Basiliscus_vittatus/run_20260514_112038	19218	385	387	387	217	89865	alignments/Basiliscus_vittatus/sq2_initial_subfam_step1.fa
Bavayia_robusta	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Bavayia_robusta/run_20260514_105001	30000	600	602	602	265	169243	alignments/Bavayia_robusta/sq2_initial_subfam_step1.fa
Boa_constrictor	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Boa_constrictor/run_20260514_112320	7573	152	154	154	208	34423	alignments/Boa_constrictor/sq2_initial_subfam_step1.fa
Brachylophus_fasciatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Brachylophus_fasciatus/run_20260514_112454	19918	399	401	401	236	100732	alignments/Brachylophus_fasciatus/sq2_initial_subfam_step1.fa
Calamaria_pavimentata_AMNHR147132	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Calamaria_pavimentata_AMNHR147132/run_20260514_173237	1368	28	30	30	236	7611	alignments/Calamaria_pavimentata_AMNHR147132/sq2_initial_subfam_step1.fa
Calotes_versicolor	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Calotes_versicolor/run_20260514_173311	17485	350	352	352	272	101457	alignments/Calotes_versicolor/sq2_initial_subfam_step1.fa
Candoia_aspera	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Candoia_aspera/run_20260514_112725	8818	177	179	179	253	48232	alignments/Candoia_aspera/sq2_initial_subfam_step1.fa
Chamaeleo_calyptratus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Chamaeleo_calyptratus/run_20260514_112945	6911	139	141	141	257	38574	alignments/Chamaeleo_calyptratus/sq2_initial_subfam_step1.fa
Charina_bottae	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Charina_bottae/run_20260514_113031	8721	175	177	177	237	44685	alignments/Charina_bottae/sq2_initial_subfam_step1.fa
Christinus_marmoratus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Christinus_marmoratus/run_20260514_113257	30000	600	602	602	710	441347	alignments/Christinus_marmoratus/sq2_initial_subfam_step1.fa
Coleonyx_brevis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Coleonyx_brevis/run_20260514_113301	30000	600	602	602	243	155999	alignments/Coleonyx_brevis/sq2_initial_subfam_step1.fa
Coleonyx_elegans	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Coleonyx_elegans/run_20260514_113406	30000	600	602	602	217	139745	alignments/Coleonyx_elegans/sq2_initial_subfam_step1.fa
Corallus_caninus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Corallus_caninus/run_20260514_113505	8333	167	169	169	207	37599	alignments/Corallus_caninus/sq2_initial_subfam_step1.fa
Correlophus_ciliatus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Correlophus_ciliatus/run_20260514_114038	30000	600	602	602	276	175865	alignments/Correlophus_ciliatus/sq2_initial_subfam_step1.fa
Correlophus_ciliatus_local	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Correlophus_ciliatus_local/run_20260514_115047	30000	600	602	602	281	178875	alignments/Correlophus_ciliatus_local/sq2_initial_subfam_step1.fa
Correlophus_sarasinorum	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Correlophus_sarasinorum/run_20260514_115252	30000	600	602	602	287	182487	alignments/Correlophus_sarasinorum/sq2_initial_subfam_step1.fa
Crotalus_horridus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Crotalus_horridus/run_20260514_115921	2763	56	58	58	202	12667	alignments/Crotalus_horridus/sq2_initial_subfam_step1.fa
Cryptoblepharus_egeriae	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Cryptoblepharus_egeriae/run_20260514_120040	14386	288	290	290	273	83891	alignments/Cryptoblepharus_egeriae/sq2_initial_subfam_step1.fa
Cyclura_pinguis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Cyclura_pinguis/run_20260514_120223	20249	405	407	407	244	105901	alignments/Cyclura_pinguis/sq2_initial_subfam_step1.fa
Cylindrophis_ruffus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Cylindrophis_ruffus/run_20260514_120816	7954	160	162	162	227	39285	alignments/Cylindrophis_ruffus/sq2_initial_subfam_step1.fa
Dibamus_smithi	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Dibamus_smithi/run_20260514_120820	30000	600	602	602	290	184293	alignments/Dibamus_smithi/sq2_initial_subfam_step1.fa
Diploglossus_plei_MVZ_Herp_230146	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Diploglossus_plei_MVZ_Herp_230146/run_20260514_173520	27322	547	549	549	291	168624	alignments/Diploglossus_plei_MVZ_Herp_230146/sq2_initial_subfam_step1.fa
Dopasia_gracilis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Dopasia_gracilis/run_20260514_121113	30000	600	602	602	308	195731	alignments/Dopasia_gracilis/sq2_initial_subfam_step1.fa
Elaphe_schrenckii	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Elaphe_schrenckii/run_20260514_121202	2747	55	57	57	229	13989	alignments/Elaphe_schrenckii/sq2_initial_subfam_step1.fa
Elgaria_multicarinata	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Elgaria_multicarinata/run_20260514_121411	30000	600	602	602	319	202353	alignments/Elgaria_multicarinata/sq2_initial_subfam_step1.fa
Emoia_atrocostata	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Emoia_atrocostata/run_20260514_173540	11958	240	242	242	254	65421	alignments/Emoia_atrocostata/sq2_initial_subfam_step1.fa
Eryx_jayakari	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Eryx_jayakari/run_20260514_121524	7064	142	144	144	209	32337	alignments/Eryx_jayakari/sq2_initial_subfam_step1.fa
Eryx_tataricus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Eryx_tataricus/run_20260514_122057	8370	168	170	170	235	42581	alignments/Eryx_tataricus/sq2_initial_subfam_step1.fa
Eublepharis_macularius	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Eublepharis_macularius/run_20260514_122546	30000	600	602	602	238	152387	alignments/Eublepharis_macularius/sq2_initial_subfam_step1.fa
Eublepharis_macularius_local	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Eublepharis_macularius_local/run_20260514_122647	30000	600	602	602	238	152387	alignments/Eublepharis_macularius_local/sq2_initial_subfam_step1.fa
Euleptes_europaea	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Euleptes_europaea/run_20260514_122705	30000	600	602	602	403	253523	alignments/Euleptes_europaea/sq2_initial_subfam_step1.fa
Eutropis_multifasciata	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Eutropis_multifasciata/run_20260514_173908	28300	566	568	568	298	178433	alignments/Eutropis_multifasciata/sq2_initial_subfam_step1.fa
Furcifer_pardalis	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Furcifer_pardalis/run_20260514_123201	7102	143	145	145	231	35751	alignments/Furcifer_pardalis/sq2_initial_subfam_step1.fa
Gallotia_galloti	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gallotia_galloti/run_20260514_123559	30000	600	602	602	274	174661	alignments/Gallotia_galloti/sq2_initial_subfam_step1.fa
Gambelia_wislizenii	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gambelia_wislizenii/run_20260514_124359	20442	409	411	411	246	107763	alignments/Gambelia_wislizenii/sq2_initial_subfam_step1.fa
Gehyra_mutilata	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gehyra_mutilata/run_20260514_124410	30000	600	602	602	767	476263	alignments/Gehyra_mutilata/sq2_initial_subfam_step1.fa
Gehyra_mutilata_hifi	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gehyra_mutilata_hifi/run_20260514_125022	30000	600	602	602	677	421481	alignments/Gehyra_mutilata_hifi/sq2_initial_subfam_step1.fa
Gehyra_mutilata_local	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gehyra_mutilata_local/run_20260514_125139	30000	600	602	602	758	470845	alignments/Gehyra_mutilata_local/sq2_initial_subfam_step1.fa
Gekko_gecko	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gekko_gecko/run_20260514_125528	30000	600	602	602	926	573787	alignments/Gekko_gecko/sq2_initial_subfam_step1.fa
Gekko_japonicus	/scratch/sk4386/sq2_sinederella_2consensus_20260514/run/Gekko_japonicus/run_20260514_130858	30000	600	602	602	835	517801	alignments/Gekko_japonicus/sq2_initial_subfam_step1.fa
